minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 17:39:30,THREADFULL,5556.66705891331
2025-05-17 17:39:45,THREADFULL,5655.422852203351
2025-05-17 17:40:00,THREADFULL,5746.25
2025-05-17 17:40:15,THREADFULL,5467.0
2025-05-17 17:40:30,THREADFULL,5636.0
2025-05-17 17:40:45,THREADFULL,5636.0
2025-05-17 17:41:00,THREADFULL,5537.220428804855
2025-05-17 17:41:15,THREADFULL,5323.010031746032
2025-05-17 17:41:30,THREADFULL,5313.607194444444
2025-05-17 17:41:45,THREADFULL,5090.671988095239
2025-05-17 17:42:00,THREADFULL,5061.233916666667
2025-05-17 17:42:15,THREADFULL,4161.5
2025-05-17 17:42:30,THREADFULL,4162.75
2025-05-17 17:42:45,THREADFULL,4162.75
2025-05-17 17:43:00,THREADFULL,4310.0
2025-05-17 17:43:15,THREADFULL,5604.0
2025-05-17 17:43:30,THREADFULL,5858.0
2025-05-17 17:43:45,THREADFULL,5858.0
2025-05-17 17:44:00,THREADFULL,5670.75
2025-05-17 17:44:15,THREADFULL,5321.0
2025-05-17 17:44:30,THREADFULL,5207.0
2025-05-17 17:44:45,THREADFULL,5207.0
2025-05-17 17:45:00,THREADFULL,5056.427717352392
2025-05-17 17:45:15,THREADFULL,5680.0
2025-05-17 17:45:30,THREADFULL,5677.5
2025-05-17 17:45:45,THREADFULL,5677.5
2025-05-17 17:46:00,THREADFULL,5811.0
2025-05-17 17:46:15,THREADFULL,5110.0
2025-05-17 17:46:30,THREADFULL,5217.0
2025-05-17 17:46:45,THREADFULL,5009.335765873017
2025-05-17 17:47:00,THREADFULL,5518.5
2025-05-17 17:47:15,THREADFULL,5458.0
2025-05-17 17:47:30,THREADFULL,5362.0
2025-05-17 17:47:45,THREADFULL,5362.0
2025-05-17 17:48:00,THREADFULL,5378.0
2025-05-17 17:48:15,THREADFULL,5211.0
2025-05-17 17:48:30,THREADFULL,5240.0
2025-05-17 17:48:45,THREADFULL,4995.455304887407
2025-05-17 17:49:00,THREADFULL,5344.0
2025-05-17 17:49:15,THREADFULL,5315.0
2025-05-17 17:49:30,THREADFULL,4965.0
2025-05-17 17:49:45,THREADFULL,4965.0
2025-05-17 17:50:00,THREADFULL,4487.0
2025-05-17 17:50:15,THREADFULL,4211.519637955182
2025-05-17 17:50:30,THREADFULL,3564.0536501035185
2025-05-17 17:50:45,THREADFULL,3561.861373459874
2025-05-17 17:51:00,THREADFULL,3685.6672821291695
2025-05-17 17:51:15,THREADFULL,3827.1461681712185
2025-05-17 17:51:30,THREADFULL,4362.232023809524
2025-05-17 17:51:45,THREADFULL,4935.5
2025-05-17 17:52:00,THREADFULL,4505.0
2025-05-17 17:52:15,THREADFULL,3508.0
2025-05-17 17:52:30,THREADFULL,3561.0
2025-05-17 17:52:45,THREADFULL,3495.25
2025-05-17 17:53:00,THREADFULL,3396.0
2025-05-17 17:53:15,THREADFULL,3600.0
2025-05-17 17:53:30,THREADFULL,3630.0
2025-05-17 17:53:45,THREADFULL,3686.1570615502646
2025-05-17 17:54:00,THREADFULL,3665.089028859764
2025-05-17 17:54:15,THREADFULL,3736.9763149112346
2025-05-17 17:54:30,THREADFULL,3744.676132405831
2025-05-17 17:54:45,THREADFULL,3807.3982900103742
2025-05-17 17:55:00,THREADFULL,3825.82601789064
2025-05-17 17:55:15,THREADFULL,3694.289075923597
2025-05-17 17:55:30,THREADFULL,3742.1125470108777
2025-05-17 17:55:45,THREADFULL,3623.463037120709
2025-05-17 17:56:00,THREADFULL,3641.122958988876
2025-05-17 17:56:15,THREADFULL,3730.541340713932
2025-05-17 17:56:30,THREADFULL,3775.6786338355832
2025-05-17 17:56:45,THREADFULL,3792.7988803413054
2025-05-17 17:57:00,THREADFULL,3728.221197387128
2025-05-17 17:57:15,THREADFULL,3653.231770604396
2025-05-17 17:57:30,THREADFULL,3555.074304410064
2025-05-17 17:57:45,THREADFULL,3563.491431961669
2025-05-17 17:58:00,THREADFULL,3659.7156690476177
2025-05-17 17:58:15,THREADFULL,3606.0831277310913
2025-05-17 17:58:30,THREADFULL,3735.960488431671
2025-05-17 17:58:45,THREADFULL,3730.8623550775937
2025-05-17 17:59:00,THREADFULL,3638.173065367964
2025-05-17 17:59:15,THREADFULL,3621.696494583813
2025-05-17 17:59:30,THREADFULL,3532.1337243199337
2025-05-17 17:59:45,THREADFULL,3547.453738504921
2025-05-17 18:00:00,THREADFULL,3677.472072727272
2025-05-17 18:00:15,THREADFULL,3770.465014397197
2025-05-17 18:00:30,THREADFULL,3852.043792684141
2025-05-17 18:00:45,THREADFULL,3855.865717460671
2025-05-17 18:01:00,THREADFULL,3852.576559696581
2025-05-17 18:01:15,THREADFULL,3940.59647946377
2025-05-17 18:01:30,THREADFULL,3979.10021193735
2025-05-17 18:01:45,THREADFULL,3962.86208415857
2025-05-17 18:02:00,THREADFULL,3961.9670798850657
2025-05-17 18:02:15,THREADFULL,4024.741092310134
2025-05-17 18:02:30,THREADFULL,4021.812787513079
2025-05-17 18:02:45,THREADFULL,4018.269141180224
2025-05-17 18:03:00,THREADFULL,4006.222633456494
2025-05-17 18:03:15,THREADFULL,3953.29468204358
2025-05-17 18:03:30,THREADFULL,4036.7675738789753
2025-05-17 18:03:45,THREADFULL,4050.680657680236
2025-05-17 18:04:00,THREADFULL,4061.9282514425113
2025-05-17 18:04:15,THREADFULL,4014.983153571429
2025-05-17 18:04:30,THREADFULL,4014.038002524762
2025-05-17 18:04:45,THREADFULL,3947.966408150182
2025-05-17 18:05:00,THREADFULL,3826.633142205018
2025-05-17 18:05:15,THREADFULL,3798.240351238743
2025-05-17 18:05:30,THREADFULL,3831.9081962319
2025-05-17 18:05:45,THREADFULL,3867.3803928346624
2025-05-17 18:06:00,THREADFULL,3997.949572315718
2025-05-17 18:06:15,THREADFULL,4319.331492063491
2025-05-17 18:06:30,THREADFULL,4505.971031746032
2025-05-17 18:06:45,THREADFULL,4523.573772408965
2025-05-17 18:07:00,THREADFULL,4258.084235137085
2025-05-17 18:07:15,THREADFULL,4119.583833943833
2025-05-17 18:07:30,THREADFULL,3834.818571428571
2025-05-17 18:07:45,THREADFULL,3765.340217565892
2025-05-17 18:08:00,THREADFULL,3795.8451952230766
2025-05-17 18:08:15,THREADFULL,3861.839579879996
2025-05-17 18:08:30,THREADFULL,4155.36451875902
2025-05-17 18:08:45,THREADFULL,4186.928138056388
2025-05-17 18:09:00,THREADFULL,4136.658573260075
2025-05-17 18:09:15,THREADFULL,4056.4436486568975
2025-05-17 18:09:30,THREADFULL,3918.264300462609
2025-05-17 18:09:45,THREADFULL,3931.073705304299
2025-05-17 18:10:00,THREADFULL,3968.699978692719
2025-05-17 18:10:15,THREADFULL,4127.090014703047
2025-05-17 18:10:30,THREADFULL,4159.285324910383
2025-05-17 18:10:45,THREADFULL,4068.0055337301583
2025-05-17 18:11:00,THREADFULL,3864.9879437229433
2025-05-17 18:11:15,THREADFULL,3723.781988368823
2025-05-17 18:11:30,THREADFULL,3643.9058964858655
2025-05-17 18:11:45,THREADFULL,3697.713349300293
2025-05-17 18:12:00,THREADFULL,3763.9325391815446
2025-05-17 18:12:15,THREADFULL,3933.302825428194
2025-05-17 18:12:30,THREADFULL,3928.4852409638897
2025-05-17 18:12:45,THREADFULL,3870.873696540076
2025-05-17 18:13:00,THREADFULL,3847.717680226679
2025-05-17 18:13:15,THREADFULL,3770.665531838424
2025-05-17 18:13:30,THREADFULL,3693.711018437512
2025-05-17 18:13:45,THREADFULL,3691.216933528108
2025-05-17 18:14:00,THREADFULL,3588.699311899959
2025-05-17 18:14:15,THREADFULL,3441.695038503517
2025-05-17 18:14:30,THREADFULL,3454.9952787032635
2025-05-17 18:14:45,THREADFULL,3547.679157148408
2025-05-17 18:15:00,THREADFULL,3564.9389890387392
2025-05-17 18:15:15,THREADFULL,3679.183803370293
2025-05-17 18:15:30,THREADFULL,3665.7953163506127
2025-05-17 18:15:45,THREADFULL,3670.9674018615
2025-05-17 18:16:00,THREADFULL,3657.114882719051
2025-05-17 18:16:15,THREADFULL,3608.479734578794
2025-05-17 18:16:30,THREADFULL,3606.5240946195113
2025-05-17 18:16:45,THREADFULL,3557.221426048462
2025-05-17 18:17:00,THREADFULL,3551.200912239858
2025-05-17 18:17:15,THREADFULL,3427.920303891955
2025-05-17 18:17:30,THREADFULL,3437.9332719203653
2025-05-17 18:17:45,THREADFULL,3441.9028799717844
2025-05-17 18:18:00,THREADFULL,3457.849753348408
2025-05-17 18:18:15,THREADFULL,3504.295150433983
2025-05-17 18:18:30,THREADFULL,3445.236026468802
2025-05-17 18:18:45,THREADFULL,3416.8965714695
2025-05-17 18:19:00,THREADFULL,3425.0284200150745
2025-05-17 18:19:15,THREADFULL,3468.492415204744
2025-05-17 18:19:30,THREADFULL,3529.922146673257
2025-05-17 18:19:45,THREADFULL,3564.209802062278
2025-05-17 18:20:00,THREADFULL,3476.3611551569343
2025-05-17 18:20:15,THREADFULL,3185.294454184704
2025-05-17 18:20:30,THREADFULL,3032.4383895891683
2025-05-17 18:20:45,THREADFULL,2999.643043290044
2025-05-17 18:21:00,THREADFULL,3147.875372877124
2025-05-17 18:21:15,THREADFULL,2989.4948556998565
2025-05-17 18:21:30,THREADFULL,2995.6809336219344
2025-05-17 18:21:45,THREADFULL,3017.255182400934
2025-05-17 18:22:00,THREADFULL,3113.6862657342663
2025-05-17 18:22:15,THREADFULL,3169.337359272164
2025-05-17 18:22:30,THREADFULL,3206.24896031746
2025-05-17 18:22:45,THREADFULL,3234.6662838879115
2025-05-17 18:23:00,THREADFULL,3319.77187514518
2025-05-17 18:23:15,THREADFULL,3422.292327526133
2025-05-17 18:23:30,THREADFULL,3707.312937118437
2025-05-17 18:23:45,THREADFULL,3767.2248961038954
2025-05-17 18:24:00,THREADFULL,3647.5366470085455
2025-05-17 18:24:15,THREADFULL,3392.880124500354
2025-05-17 18:24:30,THREADFULL,3138.988726190476
2025-05-17 18:24:45,THREADFULL,3048.050191176472
2025-05-17 18:25:00,THREADFULL,2941.15404935065
2025-05-17 18:25:15,THREADFULL,2821.2823452380944
2025-05-17 18:25:30,THREADFULL,2729.37112987013
2025-05-17 18:25:45,THREADFULL,2688.7327976190486
2025-05-17 18:26:00,THREADFULL,2745.852038461539
2025-05-17 18:26:15,THREADFULL,2766.230388888889
2025-05-17 18:26:30,THREADFULL,2686.9463401875905
2025-05-17 18:26:45,THREADFULL,2690.711328282829
2025-05-17 18:27:00,THREADFULL,2718.402273809525
2025-05-17 18:27:15,THREADFULL,2764.7088492063504
2025-05-17 18:27:30,THREADFULL,2809.1392171717166
2025-05-17 18:27:45,THREADFULL,2786.905361111112
2025-05-17 18:28:00,THREADFULL,2813.7061269841274
2025-05-17 18:28:15,THREADFULL,2707.892384920635
2025-05-17 18:28:30,THREADFULL,2700.2808639971145
2025-05-17 18:28:45,THREADFULL,2707.8795238095245
2025-05-17 18:29:00,THREADFULL,2768.6734682539686
2025-05-17 18:29:15,THREADFULL,2910.8414801587296
2025-05-17 18:29:30,THREADFULL,3082.234865079365
2025-05-17 18:29:45,THREADFULL,3146.0717160894656
2025-05-17 18:30:00,THREADFULL,3279.3045894308952
2025-05-17 18:30:15,THREADFULL,3370.020850398328
2025-05-17 18:30:30,THREADFULL,3315.40754315456
2025-05-17 18:30:45,THREADFULL,3309.699252628015
