time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:37:15,0.0,31.5,4257.805771128069,,1.5
2025-05-17 17:37:30,0.0,31.5,4332.275109947895,,1.5
2025-05-17 17:37:45,0.0,31.5,4392.705306095812,,1.5
2025-05-17 17:38:00,0.0,31.5,4309.509105930503,,1.5
2025-05-17 17:38:15,0.0,15.75,4210.076798325441,,2.0
2025-05-17 17:38:30,0.0,15.75,3930.444561199649,,2.0
2025-05-17 17:38:45,0.0,15.75,3911.250421368485,,2.0
2025-05-17 17:39:00,0.0,15.75,3942.1799066687336,,2.0
2025-05-17 17:39:15,0.0,0.0,3956.533935789371,,2.0
2025-05-17 17:39:30,0.0,0.0,4063.039231022274,,2.0
2025-05-17 17:39:45,0.0,0.0,4111.080895470401,,2.0
2025-05-17 17:40:00,0.0,0.0,4061.1485669736303,,2.0
2025-05-17 17:40:15,0.0,9.0,4012.619918342352,,2.0
2025-05-17 17:40:30,0.0,9.0,3579.1592295325654,,2.0
2025-05-17 17:40:45,0.0,9.0,3429.519084869212,,1.5
2025-05-17 17:41:00,0.0,9.0,3438.792460009927,,1.5
2025-05-17 17:41:15,0.0,23.25,3455.2512507747174,,1.5
2025-05-17 17:41:30,0.0,23.25,3624.683361143088,,1.5
2025-05-17 17:41:45,0.0,23.25,3640.8505993381273,,1.5
2025-05-17 17:42:00,0.0,23.25,3632.20880212302,,0.0
2025-05-17 17:42:15,0.0,135.75,3642.416384279994,,0.0
2025-05-17 17:42:30,0.0,135.75,3638.280391972918,,0.0
2025-05-17 17:42:45,0.0,135.75,3583.726666137019,,0.0
2025-05-17 17:43:00,0.0,135.75,3596.2589233199983,,0.0
2025-05-17 17:43:15,0.0,106.5,3602.721476179917,,0.0
2025-05-17 17:43:30,0.0,106.5,3644.907642048289,,0.0
2025-05-17 17:43:45,0.0,106.5,3614.236749015852,,0.0
2025-05-17 17:44:00,0.0,106.5,3624.119597386779,,0.75
2025-05-17 17:44:15,0.0,9.0,3627.061883101065,,0.75
2025-05-17 17:44:30,0.0,9.0,3710.3849455766704,,0.75
2025-05-17 17:44:45,0.0,9.0,3647.099800853121,,0.75
2025-05-17 17:45:00,0.0,9.0,3647.102185468505,,5.25
2025-05-17 17:45:15,0.0,174.0,3641.329103079994,,5.25
2025-05-17 17:45:30,0.0,174.0,3718.054818402604,,5.25
2025-05-17 17:45:45,0.0,174.0,3916.515974216107,,5.25
2025-05-17 17:46:00,0.0,174.0,3942.827660529794,,0.0
2025-05-17 17:46:15,0.0,48.0,4224.136081209928,,0.0
2025-05-17 17:46:30,0.0,48.0,4650.6481010101015,,0.0
2025-05-17 17:46:45,0.0,48.0,4645.261699746802,,0.0
2025-05-17 17:47:00,0.0,48.0,4744.006808344513,,0.0
2025-05-17 17:47:15,0.0,0.0,4568.026681360387,,0.0
2025-05-17 17:47:30,0.0,0.0,4316.793693661172,,0.0
2025-05-17 17:47:45,0.0,0.0,4283.116689506065,,0.0
2025-05-17 17:48:00,0.0,0.0,4216.822436511077,,0.0
2025-05-17 17:48:15,0.0,0.0,4114.036056277136,,0.0
2025-05-17 17:48:30,0.0,0.0,3721.6330624690186,,0.0
2025-05-17 17:48:45,0.0,0.0,3808.269027502273,,0.0
2025-05-17 17:49:00,0.0,0.0,3797.23726379376,,0.0
2025-05-17 17:49:15,0.0,0.0,3765.1356339236295,,0.0
2025-05-17 17:49:30,0.0,0.0,3661.901395968852,,0.0
2025-05-17 17:49:45,0.0,0.0,3532.386892992795,,0.0
2025-05-17 17:50:00,0.0,0.0,3569.707175660889,,0.0
2025-05-17 17:50:15,0.0,18.0,3636.7418858318056,,0.0
2025-05-17 17:50:30,0.0,18.0,4086.6376134569537,,0.0
2025-05-17 17:50:45,0.0,18.0,4020.340728299841,,0.0
2025-05-17 17:51:00,0.0,18.0,4001.820828964493,,0.0
2025-05-17 17:51:15,0.0,0.0,3984.643750575145,,0.0
2025-05-17 17:51:30,0.0,0.0,3903.7824158071658,,0.0
2025-05-17 17:51:45,0.0,0.0,3981.0508829327982,,0.0
2025-05-17 17:52:00,0.0,0.0,3999.60625741217,,0.0
2025-05-17 17:52:15,0.0,113.25,4011.984297114133,,0.0
2025-05-17 17:52:30,0.0,113.25,4043.543633346192,,0.0
2025-05-17 17:52:45,0.0,113.25,4098.322138828584,,0.0
2025-05-17 17:53:00,0.0,113.25,4116.5257691370825,,0.0
2025-05-17 17:53:15,0.0,0.0,4122.005708531023,,0.0
2025-05-17 17:53:30,0.0,0.0,4239.618851321661,,0.0
2025-05-17 17:53:45,0.0,0.0,4320.072958112109,,0.0
2025-05-17 17:54:00,0.0,0.0,4285.737759865198,,0.0
2025-05-17 17:54:15,0.0,13.5,4235.105746156684,,0.0
2025-05-17 17:54:30,0.0,13.5,4164.0703303501205,,0.0
2025-05-17 17:54:45,0.0,13.5,4108.270115752124,,0.0
2025-05-17 17:55:00,0.0,13.5,4106.883241906876,,0.75
2025-05-17 17:55:15,0.0,9.75,4069.634638457291,,0.75
2025-05-17 17:55:30,0.0,9.75,3867.255129617436,,0.75
2025-05-17 17:55:45,0.0,9.75,3828.923298513565,,0.75
2025-05-17 17:56:00,0.0,9.75,3843.014559885526,,5.25
2025-05-17 17:56:15,0.0,0.0,3860.463641917529,,5.25
